team,code,Champion_prob,Champion_ci_low,Champion_ci_high,Final_prob,SF_prob,QF_prob,R16_prob,R32_prob
France,FRA,0.35966,0.35668554462869073,0.36263445537130923,0.56504,0.75232,0.87359,0.98231,0.99887
Argentina,ARG,0.33627,0.33334183289677083,0.3391981671032292,0.56971,0.7314,0.83472,0.86473,0.9991
Spain,ESP,0.11952,0.11750935169854258,0.12153064830145742,0.24808,0.53533,0.65573,0.85025,0.99658
England,ENG,0.06154,0.06005049247876541,0.06302950752123458,0.16356,0.44691,0.6908,0.93096,0.99172
Brazil,BRA,0.04699,0.045678381532915,0.04830161846708499,0.13118,0.3413,0.67435,0.76729,0.99202
Portugal,POR,0.01883,0.017987532100826625,0.019672467899173374,0.07258,0.16972,0.66496,0.8549,0.9949
Belgium,BEL,0.01267,0.011976772878648276,0.013363227121351726,0.05104,0.22237,0.66437,0.90117,0.98879
Netherlands,NED,0.01202,0.011344566834576802,0.012695433165423197,0.0426,0.11176,0.42538,0.50633,0.97248
Croatia,CRO,0.01049,0.009858528274965219,0.01112147172503478,0.04456,0.19124,0.37409,0.79149,0.97248
Morocco,MAR,0.00874,0.008163093305673785,0.009316906694326214,0.03774,0.13219,0.45389,0.57006,0.97739
Germany,GER,0.00771,0.007167871089634209,0.00825212891036579,0.03035,0.08854,0.17659,0.90594,0.98703
Uruguay,URU,0.00267,0.0023501612028261737,0.0029898387971738264,0.01614,0.06653,0.13642,0.24659,0.96834
Mexico,MEX,0.00125,0.0010310023401951518,0.0014689976598048482,0.00893,0.06074,0.21673,0.81317,0.9882
Switzerland,SUI,0.00053,0.00038734766407240293,0.0006726523359275971,0.00502,0.02256,0.21646,0.67963,0.93824
United States,USA,0.00043,0.00030150184094081343,0.0005584981590591865,0.00462,0.03715,0.19637,0.66478,0.90388
Japan,JPN,0.00027,0.00016816916246244462,0.0003718308375375554,0.00296,0.02178,0.11746,0.22617,0.82925
Senegal,SEN,0.00013,5.93357886225283e-05,0.00020066421137747168,0.00161,0.01844,0.10179,0.4804,0.86297
Colombia,COL,0.0001,3.802245697028641e-05,0.0001619775430297136,0.00123,0.01056,0.07678,0.26682,0.93535
Korea Republic,KOR,4e-05,8.007840078401611e-07,7.919921599215985e-05,0.0006,0.00661,0.07974,0.5648,0.9426
Ecuador,ECU,4e-05,8.007840078401611e-07,7.919921599215985e-05,0.0005,0.0064,0.05274,0.38198,0.82382
Austria,AUT,3e-05,0.0,6.394768660159335e-05,0.00039,0.00473,0.02511,0.09982,0.8606
Australia,AUS,3e-05,0.0,6.394768660159335e-05,0.0003,0.0034,0.03492,0.29409,0.62974
Turkey,TUR,2e-05,0.0,4.77183086352685e-05,0.00042,0.00432,0.0433,0.33506,0.67342
Canada,CAN,1e-05,0.0,2.9599901999754997e-05,7e-05,0.00075,0.01974,0.21452,0.6522
Qatar,QAT,1e-05,0.0,2.9599901999754997e-05,5e-05,0.00077,0.01739,0.18506,0.5979
Scotland,SCO,0.0,0.0,0.0,2e-05,0.00052,0.00721,0.0794,0.55064
Paraguay,PAR,0.0,0.0,0.0,4e-05,0.00046,0.00816,0.11021,0.36946
Bosnia-Herzegovina,BIH,0.0,0.0,0.0,0.0,0.00017,0.00572,0.09023,0.41248
Czech Republic,CZE,0.0,0.0,0.0,1e-05,0.0001,0.00255,0.04298,0.43285
South Africa,RSA,0.0,0.0,0.0,0.0,5e-05,0.0022,0.04332,0.36665
Haiti,HAI,0.0,0.0,0.0,0.0,0.0,0.00035,0.00956,0.17543
Cote d'Ivoire,CIV,0.0,0.0,0.0,7e-05,0.0013,0.01991,0.1886,0.65042
Saudi Arabia,KSA,0.0,0.0,0.0,2e-05,0.00049,0.00697,0.06056,0.52134
Cape Verde,CPV,0.0,0.0,0.0,0.0,3e-05,0.00061,0.0113,0.20892
Iran,IRN,0.0,0.0,0.0,0.00025,0.00287,0.02592,0.26201,0.76175
New Zealand,NZL,0.0,0.0,0.0,0.0,3e-05,0.00095,0.02299,0.27583
Egypt,EGY,0.0,0.0,0.0,5e-05,0.00097,0.01056,0.14192,0.6328
Curacao,CUW,0.0,0.0,0.0,0.0,2e-05,0.00096,0.01926,0.18736
Tunisia,TUN,0.0,0.0,0.0,2e-05,0.00028,0.00649,0.04736,0.28132
Sweden,SWE,0.0,0.0,0.0,0.00015,0.00268,0.03117,0.13056,0.55143
Jordan,JOR,0.0,0.0,0.0,0.0,4e-05,0.0014,0.01955,0.31823
Algeria,ALG,0.0,0.0,0.0,0.0,0.00029,0.00528,0.04738,0.52371
Iraq,IRQ,0.0,0.0,0.0,0.0,5e-05,0.00195,0.03098,0.24511
Norway,NOR,0.0,0.0,0.0,6e-05,0.00103,0.01819,0.16255,0.59093
Uzbekistan,UZB,0.0,0.0,0.0,0.0,0.0001,0.00178,0.01585,0.47293
Congo DR,COD,0.0,0.0,0.0,0.0,2e-05,0.00042,0.00585,0.27758
Ghana,GHA,0.0,0.0,0.0,3e-05,0.00059,0.0132,0.05649,0.44114
Panama,PAN,0.0,0.0,0.0,0.0,9e-05,0.00463,0.02277,0.27382
