team_1,team_2,probability,mc_ci_low,mc_ci_high
Argentina,France,0.31266,0.3097867193877816,0.3155332806122184
Argentina,Spain,0.13023,0.12814400240388596,0.13231599759611407
England,France,0.07586,0.07421891387077753,0.07750108612922246
Brazil,France,0.05992,0.05844896034460739,0.06139103965539261
France,Portugal,0.03766,0.03648005844019697,0.038839941559803026
England,Spain,0.03115,0.030073253748165336,0.032226746251834665
Argentina,Belgium,0.02607,0.025082378675037036,0.027057621324962963
Brazil,Spain,0.02329,0.02235518939042478,0.024224810609575223
France,Spain,0.02266,0.02173762215911786,0.02358237784088214
Argentina,England,0.01934,0.018486421363675027,0.020193578636324972
Argentina,Netherlands,0.01886,0.018016874146899526,0.01970312585310047
Argentina,Brazil,0.01714,0.01633553470995549,0.01794446529004451
Portugal,Spain,0.01473,0.013983319044655886,0.015476680955344114
Argentina,Germany,0.01409,0.013359483207235864,0.014820516792764136
Croatia,France,0.01403,0.013301018079795116,0.014758981920204885
France,Morocco,0.01181,0.011140421889439029,0.01247957811056097
Argentina,Croatia,0.0108,0.01015936597205581,0.011440634027944192
Argentina,Morocco,0.00938,0.00878253697077593,0.009977463029224068
Brazil,England,0.00792,0.007370595756643981,0.00846940424335602
Belgium,England,0.00658,0.006078887232753345,0.007081112767246655
France,Uruguay,0.006,0.005521342477338965,0.006478657522661036
France,Netherlands,0.00574,0.005271767018463672,0.006208232981536329
Croatia,Spain,0.00568,0.005214206604124103,0.006145793395875897
Croatia,England,0.00559,0.005127890691512928,0.006052109308487073
England,Netherlands,0.00479,0.004362061663957995,0.005217938336042005
Belgium,Brazil,0.00467,0.004247430586414965,0.005092569413585034
Morocco,Spain,0.00458,0.0041615033445562555,0.004998496655443744
France,Mexico,0.00438,0.003970701707687901,0.004789298292312099
Brazil,Netherlands,0.00424,0.0038372678153929087,0.004642732184607091
France,Germany,0.00417,0.003770592053136646,0.004569407946863354
Argentina,Portugal,0.004,0.003608784785571931,0.0043912152144280694
Brazil,Morocco,0.00395,0.0035612278117457476,0.004338772188254253
England,Germany,0.00359,0.003219300214795854,0.003960699785204146
Belgium,Portugal,0.00347,0.0031055264662755333,0.0038344735337244667
Spain,Uruguay,0.00328,0.002925611533334393,0.003634388466665607
Belgium,France,0.00307,0.002727107811343565,0.0034128921886564345
England,Portugal,0.00299,0.0026515913755259775,0.0033284086244740226
Netherlands,Spain,0.00296,0.0026232882918958713,0.0032967117081041286
England,Morocco,0.00289,0.00255728182236854,0.0032227181776314606
Belgium,Spain,0.00288,0.002547856292653918,0.0032121437073460825
