group,team,code,win_group_probability,runner_up_probability,third_probability,advance_R32_probability
A,Mexico,MEX,0.76821,0.21154,0.01952,0.9882
A,Korea Republic,KOR,0.2235,0.65892,0.10627,0.9426
A,Czech Republic,CZE,0.00546,0.04347,0.49287,0.43285
A,South Africa,RSA,0.00283,0.08607,0.38134,0.36665
B,Switzerland,SUI,0.70557,0.19732,0.0734,0.93824
B,Canada,CAN,0.13584,0.33457,0.30391,0.6522
B,Qatar,QAT,0.10699,0.29154,0.32749,0.5979
B,Bosnia-Herzegovina,BIH,0.0516,0.17657,0.2952,0.41248
C,Brazil,BRA,0.66044,0.32389,0.01504,0.99202
C,Morocco,MAR,0.33403,0.6133,0.04929,0.97739
C,Scotland,SCO,0.00501,0.054,0.68906,0.55064
C,Haiti,HAI,0.00052,0.00881,0.24661,0.17543
D,United States,USA,0.60951,0.23982,0.10998,0.90388
D,Turkey,TUR,0.1822,0.31777,0.29928,0.67342
D,Australia,AUS,0.15474,0.29451,0.31572,0.62974
D,Paraguay,PAR,0.05355,0.1479,0.27502,0.36946
E,Germany,GER,0.86043,0.1185,0.0197,0.98703
E,Ecuador,ECU,0.09972,0.53731,0.292,0.82382
E,Cote d'Ivoire,CIV,0.03708,0.29363,0.49459,0.65042
E,Curacao,CUW,0.00277,0.05056,0.19371,0.18736
F,Netherlands,NED,0.77007,0.18382,0.03952,0.97248
F,Japan,JPN,0.17331,0.51003,0.23525,0.82925
F,Sweden,SWE,0.04561,0.21954,0.45134,0.55143
F,Tunisia,TUN,0.01101,0.08661,0.27389,0.28132
G,Belgium,BEL,0.88819,0.09447,0.01532,0.98879
G,Iran,IRN,0.06929,0.48557,0.31609,0.76175
G,Egypt,EGY,0.03636,0.32399,0.41592,0.6328
G,New Zealand,NZL,0.00616,0.09597,0.25267,0.27583
H,Spain,ESP,0.82814,0.16541,0.0062,0.99658
H,Uruguay,URU,0.16772,0.75026,0.07502,0.96834
H,Saudi Arabia,KSA,0.00357,0.06834,0.63859,0.52134
H,Cape Verde,CPV,0.00057,0.01599,0.28019,0.20892
I,France,FRA,0.97129,0.02708,0.00156,0.99887
I,Senegal,SEN,0.02372,0.67912,0.23409,0.86297
I,Norway,NOR,0.00427,0.23022,0.50802,0.59093
I,Iraq,IRQ,0.00072,0.06358,0.25633,0.24511
J,Argentina,ARG,0.97528,0.02339,0.00124,0.9991
J,Austria,AUT,0.02054,0.68795,0.22172,0.8606
J,Algeria,ALG,0.00304,0.19344,0.46342,0.52371
J,Jordan,JOR,0.00114,0.09522,0.31362,0.31823
K,Portugal,POR,0.84663,0.14443,0.00828,0.9949
K,Colombia,COL,0.1456,0.70403,0.12618,0.93535
K,Uzbekistan,UZB,0.00571,0.10411,0.53371,0.47293
K,Congo DR,COD,0.00206,0.04743,0.33183,0.27758
L,England,ENG,0.6898,0.29442,0.01474,0.99172
L,Croatia,CRO,0.3044,0.6319,0.05639,0.97248
L,Ghana,GHA,0.00436,0.04974,0.56595,0.44114
L,Panama,PAN,0.00144,0.02394,0.36292,0.27382
