team,code,group,mean_strength,sd_strength,q05,q50,q95,adjustment
France,FRA,I,2.3084597942997593,0.04158739488165759,2.2412506916009245,2.308208511577877,2.3778519754348957,0.0
Argentina,ARG,J,2.2462887650290653,0.04514462212330274,2.1753672359194836,2.247135918679472,2.319064427003015,-0.04
Spain,ESP,H,1.8508407842229084,0.03950667115442923,1.7891139169558872,1.851095083501241,1.9145554165671768,0.0
England,ENG,L,1.5550429737856688,0.04459630507864398,1.4833674420949094,1.5558674936527144,1.6261200916235106,0.0
Brazil,BRA,C,1.499751807868351,0.04720264583892229,1.4221791320112238,1.5002065622331395,1.572259085923783,0.0
Netherlands,NED,F,1.2010643245769435,0.0425854011291158,1.1357640640711515,1.2010856369334606,1.2711187486400661,0.0
Portugal,POR,K,1.1902275264552273,0.045015023314329584,1.1214780979923753,1.188886224413472,1.2558631050597373,0.0
Germany,GER,E,1.08751819684319,0.04455150525839705,1.0150005475309618,1.0873929350757598,1.1583275718078245,0.0
Belgium,BEL,G,1.0716842088790155,0.04326524658121818,1.006433975981824,1.0712978322050355,1.1365587301867996,0.0
Croatia,CRO,L,1.052442674319731,0.04531325926077588,0.9827649110592204,1.051884330445376,1.1254820288486933,0.0
Morocco,MAR,C,1.0462794665276953,0.04793274860612109,0.9762255550524584,1.04585891103057,1.1197063010862967,0.0
Uruguay,URU,H,0.8200836163684234,0.04387549705429305,0.7493428216233721,0.8205084409266523,0.8918635466220297,0.0
Mexico,MEX,A,0.5550464140202449,0.04129861418656189,0.4867222397640844,0.5545450141850424,0.6208828461675443,-0.06
Switzerland,SUI,B,0.44439910516229153,0.044167298220083646,0.3674446770281656,0.44547361723758666,0.5108846035282617,0.0
Japan,JPN,F,0.4005604357014426,0.04327091583919612,0.32946944289728824,0.40109912658447444,0.46520829153773546,0.0
United States,USA,D,0.4000961769635427,0.04296989446649308,0.33031492501017157,0.39908360533354426,0.4707827466907164,0.0
Senegal,SEN,I,0.17917997612635692,0.044989220288013713,0.1093160694969889,0.18058273096147837,0.2512783823282668,0.0
Colombia,COL,K,0.15008631531958327,0.0462973808320687,0.07818820570439325,0.1502775672258289,0.22226176783640972,0.0
