team,code,group,R32_prob,R32_ci_low,R32_ci_high,R16_prob,R16_ci_low,R16_ci_high,QF_prob,QF_ci_low,QF_ci_high,SF_prob,SF_ci_low,SF_ci_high,Final_prob,Final_ci_low,Final_ci_high,Champion_prob,Champion_ci_low,Champion_ci_high
France,FRA,I,0.99887,0.9986617668935793,0.9990782331064207,0.98231,0.9814929582098924,0.9831270417901077,0.87359,0.8715303159113227,0.8756496840886773,0.75232,0.7496445130032606,0.7549954869967394,0.56504,0.5619672988145062,0.5681127011854937,0.35966,0.35668554462869073,0.36263445537130923
Argentina,ARG,J,0.9991,0.9989141417662841,0.9992858582337159,0.86473,0.8626101893025382,0.8668498106974618,0.83472,0.8324178340134157,0.8370221659865843,0.7314,0.7286528235585169,0.7341471764414832,0.56971,0.5666412350922865,0.5727787649077136,0.33627,0.33334183289677083,0.3391981671032292
Spain,ESP,H,0.99658,0.9962181528069785,0.9969418471930216,0.85025,0.8480383682949008,0.8524616317050991,0.65573,0.6527851160316044,0.6586748839683957,0.53533,0.5322387140528742,0.5384212859471258,0.24808,0.24540306536813886,0.25075693463186116,0.11952,0.11750935169854258,0.12153064830145742
England,ENG,L,0.99172,0.9911583499839709,0.9922816500160292,0.93096,0.9293886534608132,0.9325313465391868,0.6908,0.6879354792111488,0.6936645207888511,0.44691,0.44382848695342847,0.4499915130465715,0.16356,0.16126748588144318,0.16585251411855684,0.06154,0.06005049247876541,0.06302950752123458
Brazil,BRA,C,0.99202,0.9914685352833104,0.9925714647166897,0.76729,0.7646709525694532,0.7699090474305469,0.67435,0.6714454805200791,0.6772545194799209,0.3413,0.3383612134250749,0.34423878657492507,0.13118,0.12908755144370007,0.1332724485562999,0.04699,0.045678381532915,0.04830161846708499
Portugal,POR,K,0.9949,0.9944584998303058,0.9953415001696942,0.8549,0.8527170316649479,0.857082968335052,0.66496,0.662034486125527,0.667885513874473,0.16972,0.1673933295653691,0.17204667043463093,0.07258,0.07097193802714648,0.07418806197285353,0.01883,0.017987532100826625,0.019672467899173374
Belgium,BEL,G,0.98879,0.9881374543326827,0.9894425456673172,0.90117,0.899320289201973,0.903019710798027,0.66437,0.6614432106602816,0.6672967893397185,0.22237,0.21979260683318017,0.22494739316681986,0.05104,0.04967593408324436,0.05240406591675564,0.01267,0.011976772878648276,0.013363227121351726
Netherlands,NED,F,0.97248,0.9714660404608498,0.9734939595391502,0.50633,0.503231216252602,0.5094287837473979,0.42538,0.4223156739460805,0.42844432605391947,0.11176,0.10980717003110911,0.11371282996889089,0.0426,0.04134827887297529,0.043851721127024706,0.01202,0.011344566834576802,0.012695433165423197
Croatia,CRO,L,0.97248,0.9714660404608498,0.9734939595391502,0.79149,0.7889720782368314,0.7940079217631687,0.37409,0.3710908370254835,0.37708916297451645,0.19124,0.18880244024640247,0.19367755975359752,0.04456,0.043281118302475795,0.04583888169752421,0.01049,0.009858528274965219,0.01112147172503478
Morocco,MAR,C,0.97739,0.9764686167811565,0.9783113832188435,0.57006,0.5669915413042861,0.5731284586957139,0.45389,0.45080417393405814,0.4569758260659419,0.13219,0.13009073290822193,0.13428926709177808,0.03774,0.03655885494572496,0.03892114505427505,0.00874,0.008163093305673785,0.009316906694326214
Germany,GER,E,0.98703,0.9863287203511397,0.9877312796488602,0.90594,0.904130709610587,0.907749290389413,0.17659,0.17422654578709246,0.17895345421290754,0.08854,0.08677926240533848,0.0903007375946615,0.03035,0.029286731568210548,0.03141326843178945,0.00771,0.007167871089634209,0.00825212891036579
Uruguay,URU,H,0.96834,0.9672547608248545,0.9694252391751454,0.24659,0.2439184734673018,0.2492615265326982,0.13642,0.13429261358385988,0.13854738641614014,0.06653,0.06498540360948707,0.06807459639051294,0.01614,0.015358957819726491,0.016921042180273512,0.00267,0.0023501612028261737,0.0029898387971738264
